Day,Price,Action True,Action Final,Action,Inventory,Reward,Total Reward,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
108,225.1999969482422,1,1,BUY,"[219.2899932861328, 219.08999633789062, 226.38999938964844, 225.1999969482422]",0.0,15.3,10000,9091.780029296875,900.7999877929688,9992.580017089844,-18.249984741210938,-0.0741998291015625,30,41,37,108,0.2777777777777778,0.37962962962962965,0.3425925925925926
109,233.7100067138672,1,1,BUY,"[219.2899932861328, 219.08999633789062, 226.38999938964844, 225.1999969482422, 233.7100067138672]",0.0,15.3,10000,8858.070022583008,1168.550033569336,10026.620056152344,-18.249984741210938,0.2662005615234375,30,42,37,109,0.27522935779816515,0.3853211009174312,0.3394495412844037
110,233.50999450683594,2,2,SELL,"[219.08999633789062, 226.38999938964844, 225.1999969482422, 233.7100067138672]",2.8,18.1,10000,9091.580017089844,934.0399780273438,10025.619995117188,-4.0299835205078125,0.256199951171875,30,42,38,110,0.2727272727272727,0.38181818181818183,0.34545454545454546
111,234.14999389648438,1,1,BUY,"[219.08999633789062, 226.38999938964844, 225.1999969482422, 233.7100067138672, 234.14999389648438]",0.0,18.1,10000,8857.43002319336,1170.7499694824219,10028.179992675781,-4.0299835205078125,0.2817999267578125,30,43,38,111,0.2702702702702703,0.38738738738738737,0.34234234234234234
112,236.58999633789062,2,2,SELL,"[226.38999938964844, 225.1999969482422, 233.7100067138672, 234.14999389648438]",3.5,21.6,10000,9094.02001953125,946.3599853515625,10040.380004882812,13.470016479492188,0.40380004882812504,30,43,39,112,0.26785714285714285,0.38392857142857145,0.3482142857142857
113,219.10000610351562,0,0,HOLD,"[226.38999938964844, 225.1999969482422, 233.7100067138672, 234.14999389648438]",0.0,21.6,10000,9094.02001953125,876.4000244140625,9970.420043945312,13.470016479492188,-0.295799560546875,31,43,39,113,0.2743362831858407,0.3805309734513274,0.34513274336283184
114,222.9600067138672,2,2,SELL,"[225.1999969482422, 233.7100067138672, 234.14999389648438]",-1.0,20.6,10000,9316.980026245117,668.8800201416016,9985.860046386719,10.040023803710938,-0.14139953613281248,31,43,40,114,0.2719298245614035,0.37719298245614036,0.3508771929824561
115,229.0,0,0,HOLD,"[225.1999969482422, 233.7100067138672, 234.14999389648438]",0.0,20.6,10000,9316.980026245117,687.0,10003.980026245117,10.040023803710938,0.039800262451171874,32,43,40,115,0.2782608695652174,0.3739130434782609,0.34782608695652173
116,240.92999267578125,0,0,HOLD,"[225.1999969482422, 233.7100067138672, 234.14999389648438]",0.0,20.6,10000,9316.980026245117,722.7899780273438,10039.770004272461,10.040023803710938,0.3977000427246094,33,43,40,116,0.28448275862068967,0.3706896551724138,0.3448275862068966
117,237.0399932861328,1,1,BUY,"[225.1999969482422, 233.7100067138672, 234.14999389648438, 237.0399932861328]",0.0,20.6,10000,9079.940032958984,948.1599731445312,10028.100006103516,10.040023803710938,0.2810000610351563,33,44,40,117,0.28205128205128205,0.37606837606837606,0.3418803418803419
